start,end,start [s],end [s],dur [s],speaker
26213,33548,1.638,2.097,0.458,SPEAKER_01
59083,69677,3.693,4.355,0.662,SPEAKER_01
125365,133786,7.835,8.362,0.526,SPEAKER_01
154702,166112,9.669,10.382,0.713,SPEAKER_00
181324,188930,11.333,11.808,0.475,SPEAKER_01
223157,231578,13.947,14.474,0.526,SPEAKER_01
309541,320679,19.346,20.042,0.696,SPEAKER_01
485840,493718,30.365,30.857,0.492,SPEAKER_01
550492,560000,34.406,35.0,0.594,SPEAKER_01
619219,630356,38.701,39.397,0.696,SPEAKER_01
871307,877283,54.457,54.83,0.374,SPEAKER_01
966926,978064,60.433,61.129,0.696,SPEAKER_01
