start,end,start [s],end [s],dur [s],speaker
31918,170730,1.995,10.671,8.676,SPEAKER_00
182682,214736,11.418,13.421,2.003,SPEAKER_00
231035,328828,14.44,20.552,6.112,SPEAKER_00
352733,418200,22.046,26.138,4.092,SPEAKER_00
426621,456230,26.664,28.514,1.851,SPEAKER_00
511646,537181,31.978,33.574,1.596,SPEAKER_00
558370,665670,34.898,41.604,6.706,SPEAKER_00
687945,711850,42.997,44.491,1.494,SPEAKER_00
753955,769983,47.122,48.124,1.002,SPEAKER_00
833005,857181,52.063,53.574,1.511,SPEAKER_00
857996,858268,53.625,53.642,0.017,SPEAKER_00
870220,899286,54.389,56.205,1.817,SPEAKER_00
927266,950628,57.954,59.414,1.46,SPEAKER_00
978879,994091,61.18,62.131,0.951,SPEAKER_00
