start,end,start [s],end [s],dur [s],speaker
8556,56366,0.535,3.523,2.988,SPEAKER_00
64244,98743,4.015,6.171,2.156,SPEAKER_00
129168,152801,8.073,9.55,1.477,SPEAKER_00
159592,203599,9.975,12.725,2.75,SPEAKER_00
231307,267979,14.457,16.749,2.292,SPEAKER_00
274499,309541,17.156,19.346,2.19,SPEAKER_00
326926,357351,20.433,22.334,1.902,SPEAKER_00
380713,479320,23.795,29.958,6.163,SPEAKER_00
530933,534193,33.183,33.387,0.204,SPEAKER_00
543972,557283,33.998,34.83,0.832,SPEAKER_00
559456,560000,34.966,35.0,0.034,SPEAKER_00
