start,end,start [s],end [s],dur [s],speaker
17521,98471,1.095,6.154,5.059,SPEAKER_02
114227,134601,7.139,8.413,1.273,SPEAKER_02
195178,323667,12.199,20.229,8.031,SPEAKER_02
265534,279117,16.596,17.445,0.849,SPEAKER_00
331816,351918,20.739,21.995,1.256,SPEAKER_02
399185,412767,24.949,25.798,0.849,SPEAKER_02
447809,483667,27.988,30.229,2.241,SPEAKER_01
485025,580916,30.314,36.307,5.993,SPEAKER_00
623565,635789,38.973,39.737,0.764,SPEAKER_01
710492,731137,44.406,45.696,1.29,SPEAKER_02
734940,735755,45.934,45.985,0.051,SPEAKER_02
736027,739286,46.002,46.205,0.204,SPEAKER_02
