start,end,start [s],end [s],dur [s],speaker
135,212292,0.008,13.268,13.26,SPEAKER_03
247877,288081,15.492,18.005,2.513,SPEAKER_03
290526,319864,18.158,19.992,1.834,SPEAKER_03
319864,320135,19.992,20.008,0.017,SPEAKER_01
320679,321494,20.042,20.093,0.051,SPEAKER_03
326926,376910,20.433,23.557,3.124,SPEAKER_03
466825,483123,29.177,30.195,1.019,SPEAKER_02
537181,543972,33.574,33.998,0.424,SPEAKER_02
543972,547504,33.998,34.219,0.221,SPEAKER_01
555382,590152,34.711,36.885,2.173,SPEAKER_00
576298,631171,36.019,39.448,3.43,SPEAKER_01
679524,696910,42.47,43.557,1.087,SPEAKER_01
841426,889779,52.589,55.611,3.022,SPEAKER_03
907436,921561,56.715,57.598,0.883,SPEAKER_03
929168,961765,58.073,60.11,2.037,SPEAKER_03
