start,end,start [s],end [s],dur [s],speaker
23769,37894,1.486,2.368,0.883,SPEAKER_00
70492,85161,4.406,5.323,0.917,SPEAKER_00
125365,138404,7.835,8.65,0.815,SPEAKER_00
187028,200067,11.689,12.504,0.815,SPEAKER_00
252495,267707,15.781,16.732,0.951,SPEAKER_00
305738,317147,19.109,19.822,0.713,SPEAKER_00
365500,380984,22.844,23.812,0.968,SPEAKER_00
439660,464108,27.479,29.007,1.528,SPEAKER_00
507572,519796,31.723,32.487,0.764,SPEAKER_00
579558,591239,36.222,36.952,0.73,SPEAKER_00
667300,691477,41.706,43.217,1.511,SPEAKER_00
753412,765365,47.088,47.835,0.747,SPEAKER_00
849847,865331,53.115,54.083,0.968,SPEAKER_00
899830,916129,56.239,57.258,1.019,SPEAKER_00
