start,end,start [s],end [s],dur [s],speaker
2580,13174,0.161,0.823,0.662,SPEAKER_00
31103,41154,1.944,2.572,0.628,SPEAKER_00
51477,64516,3.217,4.032,0.815,SPEAKER_00
84346,93853,5.272,5.866,0.594,SPEAKER_00
107436,119660,6.715,7.479,0.764,SPEAKER_00
134329,146553,8.396,9.16,0.764,SPEAKER_00
171001,201969,10.688,12.623,1.935,SPEAKER_00
244346,253853,15.272,15.866,0.594,SPEAKER_00
281290,291341,17.581,18.209,0.628,SPEAKER_00
358981,367674,22.436,22.98,0.543,SPEAKER_00
403531,417657,25.221,26.104,0.883,SPEAKER_00
439117,448896,27.445,28.056,0.611,SPEAKER_00
653718,677351,40.857,42.334,1.477,SPEAKER_01
717011,728692,44.813,45.543,0.73,SPEAKER_00
928353,938675,58.022,58.667,0.645,SPEAKER_00
