start,end,start [s],end [s],dur [s],speaker
135,3667,0.008,0.229,0.221,SPEAKER_01
5297,125365,0.331,7.835,7.504,SPEAKER_01
141663,198438,8.854,12.402,3.548,SPEAKER_01
209575,316876,13.098,19.805,6.706,SPEAKER_01
338879,347300,21.18,21.706,0.526,SPEAKER_00
354363,397826,22.148,24.864,2.716,SPEAKER_01
405432,431782,25.34,26.986,1.647,SPEAKER_01
591782,612971,36.986,38.311,1.324,SPEAKER_01
705059,723259,44.066,45.204,1.138,SPEAKER_01
785466,803395,49.092,50.212,1.121,SPEAKER_01
940033,975891,58.752,60.993,2.241,SPEAKER_01
988658,1006315,61.791,62.895,1.104,SPEAKER_01
990288,998438,61.893,62.402,0.509,SPEAKER_00
1007674,1007945,62.98,62.997,0.017,SPEAKER_01
