start,end,start [s],end [s],dur [s],speaker
135,7198,0.008,0.45,0.441,SPEAKER_01
37351,53921,2.334,3.37,1.036,SPEAKER_01
59354,67775,3.71,4.236,0.526,SPEAKER_01
122105,172631,7.632,10.789,3.158,SPEAKER_01
176162,200611,11.01,12.538,1.528,SPEAKER_01
259286,270696,16.205,16.919,0.713,SPEAKER_01
365772,376910,22.861,23.557,0.696,SPEAKER_01
472801,483667,29.55,30.229,0.679,SPEAKER_01
507572,516536,31.723,32.284,0.56,SPEAKER_01
575483,585806,35.968,36.613,0.645,SPEAKER_01
587979,606451,36.749,37.903,1.154,SPEAKER_01
612156,620848,38.26,38.803,0.543,SPEAKER_01
641222,654261,40.076,40.891,0.815,SPEAKER_00
743633,769168,46.477,48.073,1.596,SPEAKER_01
813446,824040,50.84,51.503,0.662,SPEAKER_01
859354,870492,53.71,54.406,0.696,SPEAKER_01
