start,end,start [s],end [s],dur [s],speaker
43056,53650,2.691,3.353,0.662,SPEAKER_00
70492,80543,4.406,5.034,0.628,SPEAKER_00
90322,110152,5.645,6.885,1.239,SPEAKER_00
150628,162852,9.414,10.178,0.764,SPEAKER_00
192461,205500,12.029,12.844,0.815,SPEAKER_00
272054,289168,17.003,18.073,1.07,SPEAKER_00
340509,352461,21.282,22.029,0.747,SPEAKER_00
379898,393208,23.744,24.576,0.832,SPEAKER_00
496434,508658,31.027,31.791,0.764,SPEAKER_00
562173,600203,35.136,37.513,2.377,SPEAKER_00
662410,676536,41.401,42.284,0.883,SPEAKER_00
732224,742275,45.764,46.392,0.628,SPEAKER_00
818879,831375,51.18,51.961,0.781,SPEAKER_00
961494,984584,60.093,61.537,1.443,SPEAKER_00
