start,end,start [s],end [s],dur [s],speaker
135,43056,0.008,2.691,2.683,SPEAKER_00
25670,31918,1.604,1.995,0.39,SPEAKER_01
62614,111239,3.913,6.952,3.039,SPEAKER_00
126451,212563,7.903,13.285,5.382,SPEAKER_01
223429,238913,13.964,14.932,0.968,SPEAKER_01
266621,276400,16.664,17.275,0.611,SPEAKER_00
293242,333989,18.328,20.874,2.547,SPEAKER_01
344040,366315,21.503,22.895,1.392,SPEAKER_01
441561,487198,27.598,30.45,2.852,SPEAKER_00
618675,627096,38.667,39.194,0.526,SPEAKER_01
684414,698811,42.776,43.676,0.9,SPEAKER_01
708862,714023,44.304,44.626,0.323,SPEAKER_00
754227,768081,47.139,48.005,0.866,SPEAKER_01
847945,861528,52.997,53.846,0.849,SPEAKER_01
879185,892224,54.949,55.764,0.815,SPEAKER_01
945466,960407,59.092,60.025,0.934,SPEAKER_01
1041901,1064991,65.119,66.562,1.443,SPEAKER_01
