start,end,start [s],end [s],dur [s],speaker
135,3938,0.008,0.246,0.238,SPEAKER_00
79185,96298,4.949,6.019,1.07,SPEAKER_00
129711,146553,8.107,9.16,1.053,SPEAKER_00
160950,213106,10.059,13.319,3.26,SPEAKER_02
232937,279388,14.559,17.462,2.903,SPEAKER_02
283735,292156,17.733,18.26,0.526,SPEAKER_02
297317,347843,18.582,21.74,3.158,SPEAKER_02
353820,358166,22.114,22.385,0.272,SPEAKER_02
363056,391578,22.691,24.474,1.783,SPEAKER_01
363599,368760,22.725,23.048,0.323,SPEAKER_02
433412,481765,27.088,30.11,3.022,SPEAKER_01
535280,548590,33.455,34.287,0.832,SPEAKER_02
568421,618947,35.526,38.684,3.158,SPEAKER_02
624380,635246,39.024,39.703,0.679,SPEAKER_02
