start,end,start [s],end [s],dur [s],speaker
135,4210,0.008,0.263,0.255,SPEAKER_02
23769,31918,1.486,1.995,0.509,SPEAKER_02
105806,155246,6.613,9.703,3.09,SPEAKER_02
243531,259015,15.221,16.188,0.968,SPEAKER_02
266893,289439,16.681,18.09,1.409,SPEAKER_02
319320,330458,19.958,20.654,0.696,SPEAKER_00
351103,362241,21.944,22.64,0.696,SPEAKER_02
364414,371205,22.776,23.2,0.424,SPEAKER_00
417928,451069,26.121,28.192,2.071,SPEAKER_02
458404,465738,28.65,29.109,0.458,SPEAKER_02
467368,482037,29.211,30.127,0.917,SPEAKER_02
680882,698811,42.555,43.676,1.121,SPEAKER_01
740916,778675,46.307,48.667,2.36,SPEAKER_02
871850,892495,54.491,55.781,1.29,SPEAKER_02
975891,982139,60.993,61.384,0.39,SPEAKER_02
