start,end,start [s],end [s],dur [s],speaker
23225,32190,1.452,2.012,0.56,SPEAKER_00
58268,157419,3.642,9.839,6.197,SPEAKER_00
189745,232122,11.859,14.508,2.649,SPEAKER_00
252767,263361,15.798,16.46,0.662,SPEAKER_00
303565,316061,18.973,19.754,0.781,SPEAKER_00
344584,358166,21.537,22.385,0.849,SPEAKER_00
414940,446723,25.934,27.92,1.986,SPEAKER_00
464380,480679,29.024,30.042,1.019,SPEAKER_00
503497,518166,31.469,32.385,0.917,SPEAKER_00
571680,619762,35.73,38.735,3.005,SPEAKER_00
688760,698268,43.048,43.642,0.594,SPEAKER_00
735483,773242,45.968,48.328,2.36,SPEAKER_00
805297,827300,50.331,51.706,1.375,SPEAKER_00
879728,895483,54.983,55.968,0.985,SPEAKER_00
906078,920475,56.63,57.53,0.9,SPEAKER_00
