start,end,start [s],end [s],dur [s],speaker
25398,75653,1.587,4.728,3.141,SPEAKER_01
83803,99830,5.238,6.239,1.002,SPEAKER_01
122105,176706,7.632,11.044,3.413,SPEAKER_01
181052,204142,11.316,12.759,1.443,SPEAKER_01
256298,260645,16.019,16.29,0.272,SPEAKER_00
264176,333446,16.511,20.84,4.329,SPEAKER_01
374465,376638,23.404,23.54,0.136,SPEAKER_01
396740,419830,24.796,26.239,1.443,SPEAKER_01
439932,561901,27.496,35.119,7.623,SPEAKER_01
604006,644210,37.75,40.263,2.513,SPEAKER_01
784651,813174,49.041,50.823,1.783,SPEAKER_01
900373,927538,56.273,57.971,1.698,SPEAKER_01
