start,end,start [s],end [s],dur [s],speaker
135,139762,0.008,8.735,8.727,SPEAKER_00
155789,273412,9.737,17.088,7.351,SPEAKER_00
295687,352190,18.48,22.012,3.531,SPEAKER_00
377453,388590,23.591,24.287,0.696,SPEAKER_00
408421,435585,25.526,27.224,1.698,SPEAKER_00
443191,493174,27.699,30.823,3.124,SPEAKER_01
444006,444821,27.75,27.801,0.051,SPEAKER_00
446451,457045,27.903,28.565,0.662,SPEAKER_00
516808,537181,32.301,33.574,1.273,SPEAKER_00
566247,597758,35.39,37.36,1.969,SPEAKER_00
615144,645297,38.447,40.331,1.885,SPEAKER_00
696638,714023,43.54,44.626,1.087,SPEAKER_00
745534,787911,46.596,49.244,2.649,SPEAKER_00
846859,857181,52.929,53.574,0.645,SPEAKER_00
925908,944108,57.869,59.007,1.138,SPEAKER_00
949541,968013,59.346,60.501,1.154,SPEAKER_00
