start,end,start [s],end [s],dur [s],speaker
30560,60713,1.91,3.795,1.885,SPEAKER_01
69405,84617,4.338,5.289,0.951,SPEAKER_01
113140,150628,7.071,9.414,2.343,SPEAKER_01
200067,245161,12.504,15.323,2.818,SPEAKER_01
275857,289168,17.241,18.073,0.832,SPEAKER_01
317147,329643,19.822,20.603,0.781,SPEAKER_01
356536,371477,22.284,23.217,0.934,SPEAKER_01
420101,434770,26.256,27.173,0.917,SPEAKER_01
517623,536095,32.351,33.506,1.154,SPEAKER_00
600203,618675,37.513,38.667,1.154,SPEAKER_00
706146,752054,44.134,47.003,2.869,SPEAKER_01
809100,819422,50.569,51.214,0.645,SPEAKER_01
892224,953344,55.764,59.584,3.82,SPEAKER_01
