start,end,start [s],end [s],dur [s],speaker
57181,82988,3.574,5.187,1.613,SPEAKER_01
139490,150628,8.718,9.414,0.696,SPEAKER_00
160679,163123,10.042,10.195,0.153,SPEAKER_01
163123,168556,10.195,10.535,0.34,SPEAKER_00
185670,190288,11.604,11.893,0.289,SPEAKER_00
466553,532292,29.16,33.268,4.109,SPEAKER_01
554838,574397,34.677,35.9,1.222,SPEAKER_01
714567,749609,44.66,46.851,2.19,SPEAKER_00
1007945,1013106,62.997,63.319,0.323,SPEAKER_00
1013378,1014193,63.336,63.387,0.051,SPEAKER_00
1017724,1018539,63.608,63.659,0.051,SPEAKER_00
1019354,1020441,63.71,63.778,0.068,SPEAKER_00
1073140,1102750,67.071,68.922,1.851,SPEAKER_00
1298336,1324142,81.146,82.759,1.613,SPEAKER_00
1325772,1336638,82.861,83.54,0.679,SPEAKER_00
1338539,1411069,83.659,88.192,4.533,SPEAKER_00
1438505,1455348,89.907,90.959,1.053,SPEAKER_00
1472461,1474634,92.029,92.165,0.136,SPEAKER_00
1516196,1669405,94.762,104.338,9.576,SPEAKER_00
1688964,1744923,105.56,109.058,3.497,SPEAKER_00
1765840,1796264,110.365,112.267,1.902,SPEAKER_00
