start,end,start [s],end [s],dur [s],speaker
14804,194634,0.925,12.165,11.239,SPEAKER_01
219626,284006,13.727,17.75,4.024,SPEAKER_01
289983,292971,18.124,18.311,0.187,SPEAKER_00
292427,292699,18.277,18.294,0.017,SPEAKER_01
292971,319592,18.311,19.975,1.664,SPEAKER_01
295415,295687,18.463,18.48,0.017,SPEAKER_00
296230,297317,18.514,18.582,0.068,SPEAKER_00
324753,329371,20.297,20.586,0.289,SPEAKER_00
329371,349473,20.586,21.842,1.256,SPEAKER_01
366587,366859,22.912,22.929,0.017,SPEAKER_00
366859,369303,22.929,23.081,0.153,SPEAKER_01
369847,387775,23.115,24.236,1.121,SPEAKER_01
407334,450526,25.458,28.158,2.699,SPEAKER_01
456774,466553,28.548,29.16,0.611,SPEAKER_01
495619,545602,30.976,34.1,3.124,SPEAKER_01
564074,571137,35.255,35.696,0.441,SPEAKER_01
598573,660780,37.411,41.299,3.888,SPEAKER_01
662954,675721,41.435,42.233,0.798,SPEAKER_00
691477,709405,43.217,44.338,1.121,SPEAKER_01
728421,743361,45.526,46.46,0.934,SPEAKER_01
776230,787640,48.514,49.228,0.713,SPEAKER_01
816162,830016,51.01,51.876,0.866,SPEAKER_01
852835,853650,53.302,53.353,0.051,SPEAKER_01
853650,854193,53.353,53.387,0.034,SPEAKER_00
854193,869677,53.387,54.355,0.968,SPEAKER_01
892767,906349,55.798,56.647,0.849,SPEAKER_01
923191,957962,57.699,59.873,2.173,SPEAKER_01
970730,973174,60.671,60.823,0.153,SPEAKER_01
