start,end,start [s],end [s],dur [s],speaker
135,33820,0.008,2.114,2.105,SPEAKER_02
50118,72393,3.132,4.525,1.392,SPEAKER_02
88421,120475,5.526,7.53,2.003,SPEAKER_02
122648,191375,7.666,11.961,4.295,SPEAKER_02
202784,220169,12.674,13.761,1.087,SPEAKER_02
241086,278030,15.068,17.377,2.309,SPEAKER_02
306825,338064,19.177,21.129,1.952,SPEAKER_02
374736,380169,23.421,23.761,0.34,SPEAKER_02
392665,441290,24.542,27.581,3.039,SPEAKER_02
456230,477419,28.514,29.839,1.324,SPEAKER_02
493174,522784,30.823,32.674,1.851,SPEAKER_02
534193,550764,33.387,34.423,1.036,SPEAKER_02
564346,582275,35.272,36.392,1.121,SPEAKER_02
614872,637419,38.43,39.839,1.409,SPEAKER_02
649371,671103,40.586,41.944,1.358,SPEAKER_00
680067,693378,42.504,43.336,0.832,SPEAKER_02
737385,752054,46.087,47.003,0.917,SPEAKER_01
811544,818879,50.722,51.18,0.458,SPEAKER_01
845500,884889,52.844,55.306,2.462,SPEAKER_01
909066,930254,56.817,58.141,1.324,SPEAKER_01
964753,970730,60.297,60.671,0.374,SPEAKER_00
