start,end,start [s],end [s],dur [s],speaker
135,76196,0.008,4.762,4.754,SPEAKER_00
95755,188930,5.985,11.808,5.823,SPEAKER_00
196264,241086,12.267,15.068,2.801,SPEAKER_00
254940,326926,15.934,20.433,4.499,SPEAKER_00
331001,344040,20.688,21.503,0.815,SPEAKER_00
356808,388319,22.301,24.27,1.969,SPEAKER_00
402988,428522,25.187,26.783,1.596,SPEAKER_00
429337,452156,26.834,28.26,1.426,SPEAKER_00
463293,499694,28.956,31.231,2.275,SPEAKER_00
514091,572495,32.131,35.781,3.65,SPEAKER_00
587979,617317,36.749,38.582,1.834,SPEAKER_00
618675,639864,38.667,39.992,1.324,SPEAKER_00
653718,687402,40.857,42.963,2.105,SPEAKER_00
704244,800679,44.015,50.042,6.027,SPEAKER_00
812631,896298,50.789,56.019,5.229,SPEAKER_00
899558,997623,56.222,62.351,6.129,SPEAKER_00
1003327,1008217,62.708,63.014,0.306,SPEAKER_00
1009032,1031578,63.065,64.474,1.409,SPEAKER_00
1051137,1053853,65.696,65.866,0.17,SPEAKER_00
1064176,1102750,66.511,68.922,2.411,SPEAKER_00
1106553,1184516,69.16,74.032,4.873,SPEAKER_00
1186146,1269541,74.134,79.346,5.212,SPEAKER_00
1277691,1504244,79.856,94.015,14.16,SPEAKER_00
1521901,1597962,95.119,99.873,4.754,SPEAKER_00
1566723,1573242,97.92,98.328,0.407,SPEAKER_01
1604753,1748455,100.297,109.278,8.981,SPEAKER_00
