start,end,start [s],end [s],dur [s],speaker
135,9100,0.008,0.569,0.56,SPEAKER_03
27572,45229,1.723,2.827,1.104,SPEAKER_03
61528,78913,3.846,4.932,1.087,SPEAKER_03
94940,186485,5.934,11.655,5.722,SPEAKER_02
191918,192190,11.995,12.012,0.017,SPEAKER_02
199796,224244,12.487,14.015,1.528,SPEAKER_02
237283,310628,14.83,19.414,4.584,SPEAKER_02
331544,376095,20.722,23.506,2.784,SPEAKER_02
387775,473616,24.236,29.601,5.365,SPEAKER_02
484482,487470,30.28,30.467,0.187,SPEAKER_02
487470,540984,30.467,33.812,3.345,SPEAKER_01
551035,574397,34.44,35.9,1.46,SPEAKER_01
602105,626281,37.632,39.143,1.511,SPEAKER_01
634431,653174,39.652,40.823,1.171,SPEAKER_01
718098,722988,44.881,45.187,0.306,SPEAKER_00
740645,753140,46.29,47.071,0.781,SPEAKER_00
784108,813446,49.007,50.84,1.834,SPEAKER_03
813446,840339,50.84,52.521,1.681,SPEAKER_02
869949,886519,54.372,55.407,1.036,SPEAKER_02
944651,1058743,59.041,66.171,7.131,SPEAKER_02
1069337,1071511,66.834,66.969,0.136,SPEAKER_02
1072054,1088081,67.003,68.005,1.002,SPEAKER_02
