start,end,start [s],end [s],dur [s],speaker
13718,88421,0.857,5.526,4.669,SPEAKER_01
112869,167741,7.054,10.484,3.43,SPEAKER_01
202784,206859,12.674,12.929,0.255,SPEAKER_01
207945,253853,12.997,15.866,2.869,SPEAKER_01
318777,351646,19.924,21.978,2.054,SPEAKER_02
351646,352190,21.978,22.012,0.034,SPEAKER_01
354634,402988,22.165,25.187,3.022,SPEAKER_01
443735,462478,27.733,28.905,1.171,SPEAKER_01
488285,515993,30.518,32.25,1.732,SPEAKER_00
538539,544244,33.659,34.015,0.357,SPEAKER_00
544244,548862,34.015,34.304,0.289,SPEAKER_01
560000,576570,35.0,36.036,1.036,SPEAKER_01
672461,706146,42.029,44.134,2.105,SPEAKER_02
700169,732495,43.761,45.781,2.02,SPEAKER_01
797419,812631,49.839,50.789,0.951,SPEAKER_01
834091,862614,52.131,53.913,1.783,SPEAKER_01
896842,919932,56.053,57.496,1.443,SPEAKER_02
950899,973174,59.431,60.823,1.392,SPEAKER_00
