start,end,start [s],end [s],dur [s],speaker
4753,52292,0.297,3.268,2.971,SPEAKER_02
72937,95483,4.559,5.968,1.409,SPEAKER_02
123191,171816,7.699,10.739,3.039,SPEAKER_02
204957,223972,12.81,13.998,1.188,SPEAKER_02
223972,225059,13.998,14.066,0.068,SPEAKER_01
258471,274499,16.154,17.156,1.002,SPEAKER_01
305466,323938,19.092,20.246,1.154,SPEAKER_01
353548,382614,22.097,23.913,1.817,SPEAKER_00
407877,426893,25.492,26.681,1.188,SPEAKER_02
491273,513005,30.705,32.063,1.358,SPEAKER_02
588251,656162,36.766,41.01,4.244,SPEAKER_02
697453,718098,43.591,44.881,1.29,SPEAKER_02
