start,end,start [s],end [s],dur [s],speaker
135,33276,0.008,2.08,2.071,SPEAKER_01
36264,68590,2.267,4.287,2.02,SPEAKER_01
74567,292156,4.66,18.26,13.599,SPEAKER_01
294329,319049,18.396,19.941,1.545,SPEAKER_01
326112,347843,20.382,21.74,1.358,SPEAKER_01
353820,370390,22.114,23.149,1.036,SPEAKER_01
383429,398641,23.964,24.915,0.951,SPEAKER_01
414940,428522,25.934,26.783,0.849,SPEAKER_01
438302,452427,27.394,28.277,0.883,SPEAKER_01
457860,474159,28.616,29.635,1.019,SPEAKER_01
486383,500780,30.399,31.299,0.9,SPEAKER_01
505127,535551,31.57,33.472,1.902,SPEAKER_01
542071,552665,33.879,34.542,0.662,SPEAKER_01
566247,580373,35.39,36.273,0.883,SPEAKER_01
613786,630628,38.362,39.414,1.053,SPEAKER_01
637691,674634,39.856,42.165,2.309,SPEAKER_01
691205,708319,43.2,44.27,1.07,SPEAKER_01
712665,726247,44.542,45.39,0.849,SPEAKER_01
814804,826213,50.925,51.638,0.713,SPEAKER_00
856366,873208,53.523,54.576,1.053,SPEAKER_00
895212,922648,55.951,57.666,1.715,SPEAKER_00
972088,990016,60.756,61.876,1.121,SPEAKER_00
