start,end,start [s],end [s],dur [s],speaker
41697,138404,2.606,8.65,6.044,SPEAKER_00
147368,186757,9.211,11.672,2.462,SPEAKER_00
200067,233480,12.504,14.593,2.088,SPEAKER_00
253582,325025,15.849,20.314,4.465,SPEAKER_00
335891,378539,20.993,23.659,2.666,SPEAKER_00
394838,420645,24.677,26.29,1.613,SPEAKER_00
434227,472529,27.139,29.533,2.394,SPEAKER_00
479592,515178,29.975,32.199,2.224,SPEAKER_00
526044,565976,32.878,35.374,2.496,SPEAKER_00
572767,589881,35.798,36.868,1.07,SPEAKER_00
602920,632258,37.683,39.516,1.834,SPEAKER_00
662139,717826,41.384,44.864,3.48,SPEAKER_00
731680,803938,45.73,50.246,4.516,SPEAKER_00
814533,857181,50.908,53.574,2.666,SPEAKER_00
869677,931341,54.355,58.209,3.854,SPEAKER_00
933514,981595,58.345,61.35,3.005,SPEAKER_00
1001154,1034838,62.572,64.677,2.105,SPEAKER_00
1057113,1067436,66.07,66.715,0.645,SPEAKER_00
1072054,1079388,67.003,67.462,0.458,SPEAKER_00
