start,end,start [s],end [s],dur [s],speaker
11544,24584,0.722,1.537,0.815,SPEAKER_00
39252,43870,2.453,2.742,0.289,SPEAKER_00
55823,64244,3.489,4.015,0.526,SPEAKER_00
73208,82988,4.576,5.187,0.611,SPEAKER_00
95483,105263,5.968,6.579,0.611,SPEAKER_00
110967,118302,6.935,7.394,0.458,SPEAKER_00
132427,143293,8.277,8.956,0.679,SPEAKER_00
156332,173174,9.771,10.823,1.053,SPEAKER_00
190288,195993,11.893,12.25,0.357,SPEAKER_01
210390,222071,13.149,13.879,0.73,SPEAKER_00
237011,247062,14.813,15.441,0.628,SPEAKER_00
259830,269337,16.239,16.834,0.594,SPEAKER_00
286451,301935,17.903,18.871,0.968,SPEAKER_00
319592,327741,19.975,20.484,0.509,SPEAKER_00
347572,376638,21.723,23.54,1.817,SPEAKER_00
397826,404346,24.864,25.272,0.407,SPEAKER_00
408964,429609,25.56,26.851,1.29,SPEAKER_00
437487,446723,27.343,27.92,0.577,SPEAKER_00
467368,481765,29.211,30.11,0.9,SPEAKER_00
492903,506213,30.806,31.638,0.832,SPEAKER_00
518709,528488,32.419,33.031,0.611,SPEAKER_00
559456,567334,34.966,35.458,0.492,SPEAKER_00
611612,614329,38.226,38.396,0.17,SPEAKER_00
645568,652359,40.348,40.772,0.424,SPEAKER_00
715382,727062,44.711,45.441,0.73,SPEAKER_00
745806,786553,46.613,49.16,2.547,SPEAKER_00
797962,804753,49.873,50.297,0.424,SPEAKER_00
851205,862071,53.2,53.879,0.679,SPEAKER_00
927538,936502,57.971,58.531,0.56,SPEAKER_00
