start,end,start [s],end [s],dur [s],speaker
135,407,0.008,0.025,0.017,SPEAKER_01
407,2852,0.025,0.178,0.153,SPEAKER_00
21052,25942,1.316,1.621,0.306,SPEAKER_01
34363,47945,2.148,2.997,0.849,SPEAKER_01
69949,89235,4.372,5.577,1.205,SPEAKER_01
120747,121561,7.547,7.598,0.051,SPEAKER_01
121561,121833,7.598,7.615,0.017,SPEAKER_00
121833,144108,7.615,9.007,1.392,SPEAKER_01
144108,144651,9.007,9.041,0.034,SPEAKER_00
163395,184855,10.212,11.553,1.341,SPEAKER_01
202784,224516,12.674,14.032,1.358,SPEAKER_01
250865,273412,15.679,17.088,1.409,SPEAKER_01
285908,292427,17.869,18.277,0.407,SPEAKER_01
