start,end,start [s],end [s],dur [s],speaker
38981,62886,2.436,3.93,1.494,SPEAKER_00
63972,91137,3.998,5.696,1.698,SPEAKER_00
113955,198981,7.122,12.436,5.314,SPEAKER_01
205772,284821,12.861,17.801,4.941,SPEAKER_01
272597,278030,17.037,17.377,0.34,SPEAKER_00
306010,324210,19.126,20.263,1.138,SPEAKER_01
351103,371205,21.944,23.2,1.256,SPEAKER_01
405976,422275,25.374,26.392,1.019,SPEAKER_01
448624,469269,28.039,29.329,1.29,SPEAKER_01
535280,556740,33.455,34.796,1.341,SPEAKER_01
648828,655076,40.552,40.942,0.39,SPEAKER_01
