start,end,start [s],end [s],dur [s],speaker
3395,24584,0.212,1.537,1.324,SPEAKER_00
51748,56366,3.234,3.523,0.289,SPEAKER_00
87334,141392,5.458,8.837,3.379,SPEAKER_01
148726,156061,9.295,9.754,0.458,SPEAKER_00
181595,189745,11.35,11.859,0.509,SPEAKER_01
198709,207130,12.419,12.946,0.526,SPEAKER_00
227232,236196,14.202,14.762,0.56,SPEAKER_01
304108,314431,19.007,19.652,0.645,SPEAKER_01
358981,369303,22.436,23.081,0.645,SPEAKER_01
410050,417385,25.628,26.087,0.458,SPEAKER_01
463837,474431,28.99,29.652,0.662,SPEAKER_01
532292,540441,33.268,33.778,0.509,SPEAKER_01
600747,616230,37.547,38.514,0.968,SPEAKER_01
752869,753140,47.054,47.071,0.017,SPEAKER_01
753412,754499,47.088,47.156,0.068,SPEAKER_01
781935,791443,48.871,49.465,0.594,SPEAKER_01
875653,886247,54.728,55.39,0.662,SPEAKER_01
933514,944651,58.345,59.041,0.696,SPEAKER_01
962308,972631,60.144,60.789,0.645,SPEAKER_01
1049235,1083735,65.577,67.733,2.156,SPEAKER_00
