start,end,start [s],end [s],dur [s],speaker
135,15891,0.008,0.993,0.985,SPEAKER_00
27028,39524,1.689,2.47,0.781,SPEAKER_00
125636,158234,7.852,9.89,2.037,SPEAKER_01
156061,168556,9.754,10.535,0.781,SPEAKER_00
158777,164210,9.924,10.263,0.34,SPEAKER_01
165840,204957,10.365,12.81,2.445,SPEAKER_01
230764,248964,14.423,15.56,1.138,SPEAKER_01
285908,298404,17.869,18.65,0.781,SPEAKER_01
338064,415212,21.129,25.951,4.822,SPEAKER_01
452156,486926,28.26,30.433,2.173,SPEAKER_01
494261,503225,30.891,31.452,0.56,SPEAKER_00
520067,529032,32.504,33.065,0.56,SPEAKER_00
558913,597758,34.932,37.36,2.428,SPEAKER_00
645297,671918,40.331,41.995,1.664,SPEAKER_01
