start,end,start [s],end [s],dur [s],speaker
12088,100101,0.756,6.256,5.501,SPEAKER_01
104991,105263,6.562,6.579,0.017,SPEAKER_01
105263,105534,6.579,6.596,0.017,SPEAKER_00
105534,109609,6.596,6.851,0.255,SPEAKER_01
109609,109881,6.851,6.868,0.017,SPEAKER_00
109881,125908,6.868,7.869,1.002,SPEAKER_01
140577,168556,8.786,10.535,1.749,SPEAKER_01
183225,185670,11.452,11.604,0.153,SPEAKER_01
191918,200339,11.995,12.521,0.526,SPEAKER_01
227775,274227,14.236,17.139,2.903,SPEAKER_01
297045,328013,18.565,20.501,1.935,SPEAKER_01
341867,367674,21.367,22.98,1.613,SPEAKER_01
367674,417657,22.98,26.104,3.124,SPEAKER_00
368760,369575,23.048,23.098,0.051,SPEAKER_01
442648,500780,27.666,31.299,3.633,SPEAKER_01
512733,530390,32.046,33.149,1.104,SPEAKER_01
564617,577385,35.289,36.087,0.798,SPEAKER_00
604550,638777,37.784,39.924,2.139,SPEAKER_01
655348,707775,40.959,44.236,3.277,SPEAKER_00
719185,752054,44.949,47.003,2.054,SPEAKER_00
752054,783293,47.003,48.956,1.952,SPEAKER_01
810730,842241,50.671,52.64,1.969,SPEAKER_01
862614,894940,53.913,55.934,2.02,SPEAKER_00
971273,977521,60.705,61.095,0.39,SPEAKER_00
