start,end,start [s],end [s],dur [s],speaker
23497,32461,1.469,2.029,0.56,SPEAKER_00
68319,75925,4.27,4.745,0.475,SPEAKER_00
98743,107436,6.171,6.715,0.543,SPEAKER_00
129168,137589,8.073,8.599,0.526,SPEAKER_00
158234,168285,9.89,10.518,0.628,SPEAKER_00
189473,198709,11.842,12.419,0.577,SPEAKER_00
223429,233208,13.964,14.576,0.611,SPEAKER_00
249235,259558,15.577,16.222,0.645,SPEAKER_00
277758,287538,17.36,17.971,0.611,SPEAKER_00
365772,376638,22.861,23.54,0.679,SPEAKER_00
400814,411137,25.051,25.696,0.645,SPEAKER_00
506213,522241,31.638,32.64,1.002,SPEAKER_00
563803,572767,35.238,35.798,0.56,SPEAKER_00
598302,608353,37.394,38.022,0.628,SPEAKER_00
633616,643395,39.601,40.212,0.611,SPEAKER_00
681426,695008,42.589,43.438,0.849,SPEAKER_00
753140,765908,47.071,47.869,0.798,SPEAKER_00
865059,873752,54.066,54.61,0.543,SPEAKER_00
897657,907164,56.104,56.698,0.594,SPEAKER_00
929711,939219,58.107,58.701,0.594,SPEAKER_00
960407,969643,60.025,60.603,0.577,SPEAKER_00
975891,985670,60.993,61.604,0.611,SPEAKER_01
989473,1090797,61.842,68.175,6.333,SPEAKER_01
1133446,1133718,70.84,70.857,0.017,SPEAKER_00
1135891,1138064,70.993,71.129,0.136,SPEAKER_01
