start,end,start [s],end [s],dur [s],speaker
123735,167470,7.733,10.467,2.733,SPEAKER_00
169915,171001,10.62,10.688,0.068,SPEAKER_00
171001,194634,10.688,12.165,1.477,SPEAKER_01
172088,213378,10.756,13.336,2.581,SPEAKER_00
233480,258200,14.593,16.138,1.545,SPEAKER_01
255483,279388,15.968,17.462,1.494,SPEAKER_00
303022,355721,18.939,22.233,3.294,SPEAKER_00
361969,408149,22.623,25.509,2.886,SPEAKER_00
408964,457860,25.56,28.616,3.056,SPEAKER_00
491001,687945,30.688,42.997,12.309,SPEAKER_00
690118,721358,43.132,45.085,1.952,SPEAKER_00
