start,end,start [s],end [s],dur [s],speaker
135,17521,0.008,1.095,1.087,SPEAKER_01
33276,62614,2.08,3.913,1.834,SPEAKER_01
80814,93853,5.051,5.866,0.815,SPEAKER_01
94397,107707,5.9,6.732,0.832,SPEAKER_01
112597,155246,7.037,9.703,2.666,SPEAKER_01
171273,193548,10.705,12.097,1.392,SPEAKER_01
215823,245161,13.489,15.323,1.834,SPEAKER_01
259286,260916,16.205,16.307,0.102,SPEAKER_01
283191,297317,17.699,18.582,0.883,SPEAKER_01
314431,332903,19.652,20.806,1.154,SPEAKER_01
345127,364142,21.57,22.759,1.188,SPEAKER_01
378811,395110,23.676,24.694,1.019,SPEAKER_01
408692,419015,25.543,26.188,0.645,SPEAKER_01
439932,447538,27.496,27.971,0.475,SPEAKER_01
451884,468998,28.243,29.312,1.07,SPEAKER_01
488013,509745,30.501,31.859,1.358,SPEAKER_01
521697,530118,32.606,33.132,0.526,SPEAKER_00
591511,624380,36.969,39.024,2.054,SPEAKER_01
629541,639592,39.346,39.975,0.628,SPEAKER_01
653174,673005,40.823,42.063,1.239,SPEAKER_01
705874,718370,44.117,44.898,0.781,SPEAKER_01
727606,739830,45.475,46.239,0.764,SPEAKER_01
779490,791986,48.718,49.499,0.781,SPEAKER_01
861528,870492,53.846,54.406,0.56,SPEAKER_01
910152,924821,56.885,57.801,0.917,SPEAKER_01
