start,end,start [s],end [s],dur [s],speaker
135,19422,0.008,1.214,1.205,SPEAKER_01
30288,84617,1.893,5.289,3.396,SPEAKER_01
97928,123191,6.121,7.699,1.579,SPEAKER_01
138947,155246,8.684,9.703,1.019,SPEAKER_01
163667,196808,10.229,12.301,2.071,SPEAKER_01
201697,218268,12.606,13.642,1.036,SPEAKER_01
237283,264448,14.83,16.528,1.698,SPEAKER_01
276943,289168,17.309,18.073,0.764,SPEAKER_01
297860,306825,18.616,19.177,0.56,SPEAKER_01
352461,376638,22.029,23.54,1.511,SPEAKER_00
378811,388319,23.676,24.27,0.594,SPEAKER_00
391035,400271,24.44,25.017,0.577,SPEAKER_00
423633,435314,26.477,27.207,0.73,SPEAKER_01
468455,492359,29.278,30.772,1.494,SPEAKER_01
518166,518438,32.385,32.402,0.017,SPEAKER_01
518981,525500,32.436,32.844,0.407,SPEAKER_01
571680,585806,35.73,36.613,0.883,SPEAKER_01
592054,603735,37.003,37.733,0.73,SPEAKER_01
620033,632801,38.752,39.55,0.798,SPEAKER_01
660780,674906,41.299,42.182,0.883,SPEAKER_01
715653,743361,44.728,46.46,1.732,SPEAKER_01
772699,783837,48.294,48.99,0.696,SPEAKER_01
837351,861256,52.334,53.829,1.494,SPEAKER_01
915857,951986,57.241,59.499,2.258,SPEAKER_01
