start,end,start [s],end [s],dur [s],speaker
8488,31850,1.061,3.981,2.92,SPEAKER_00
36332,64312,4.542,8.039,3.497,SPEAKER_00
69202,88896,8.65,11.112,2.462,SPEAKER_00
91612,111986,11.452,13.998,2.547,SPEAKER_00
116061,123123,14.508,15.39,0.883,SPEAKER_00
124753,154227,15.594,19.278,3.684,SPEAKER_00
165636,179898,20.705,22.487,1.783,SPEAKER_00
187504,215891,23.438,26.986,3.548,SPEAKER_00
229202,251748,28.65,31.469,2.818,SPEAKER_00
269541,280679,33.693,35.085,1.392,SPEAKER_00
314770,334736,39.346,41.842,2.496,SPEAKER_00
335687,335959,41.961,41.995,0.034,SPEAKER_00
