start,end,start [s],end [s],dur [s],speaker
135,6655,0.008,0.416,0.407,SPEAKER_00
22139,31646,1.384,1.978,0.594,SPEAKER_00
41697,71578,2.606,4.474,1.868,SPEAKER_00
76468,86519,4.779,5.407,0.628,SPEAKER_00
91409,103089,5.713,6.443,0.73,SPEAKER_00
110967,122376,6.935,7.649,0.713,SPEAKER_00
138675,150628,8.667,9.414,0.747,SPEAKER_00
166112,178879,10.382,11.18,0.798,SPEAKER_00
215008,245704,13.438,15.357,1.919,SPEAKER_00
254668,267436,15.917,16.715,0.798,SPEAKER_00
272054,282920,17.003,17.683,0.679,SPEAKER_00
304108,316604,19.007,19.788,0.781,SPEAKER_00
331001,355993,20.688,22.25,1.562,SPEAKER_00
400814,433684,25.051,27.105,2.054,SPEAKER_00
453786,465466,28.362,29.092,0.73,SPEAKER_00
486655,498336,30.416,31.146,0.73,SPEAKER_00
540713,555110,33.795,34.694,0.9,SPEAKER_00
557011,569507,34.813,35.594,0.781,SPEAKER_00
605908,641494,37.869,40.093,2.224,SPEAKER_00
686044,696638,42.878,43.54,0.662,SPEAKER_00
781120,793887,48.82,49.618,0.798,SPEAKER_00
830831,845229,51.927,52.827,0.9,SPEAKER_00
866146,880543,54.134,55.034,0.9,SPEAKER_00
981867,984040,61.367,61.503,0.136,SPEAKER_00
996808,1008760,62.301,63.048,0.747,SPEAKER_00
