start,end,start [s],end [s],dur [s],speaker
150356,159320,9.397,9.958,0.56,SPEAKER_00
160950,161222,10.059,10.076,0.017,SPEAKER_00
162308,162852,10.144,10.178,0.034,SPEAKER_00
163938,175076,10.246,10.942,0.696,SPEAKER_00
178064,191918,11.129,11.995,0.866,SPEAKER_00
238641,256298,14.915,16.019,1.104,SPEAKER_00
285365,379354,17.835,23.71,5.874,SPEAKER_00
398370,524685,24.898,32.793,7.895,SPEAKER_00
547775,606723,34.236,37.92,3.684,SPEAKER_00
655076,663769,40.942,41.486,0.543,SPEAKER_00
684142,710492,42.759,44.406,1.647,SPEAKER_00
744448,776230,46.528,48.514,1.986,SPEAKER_00
794159,843870,49.635,52.742,3.107,SPEAKER_00
872937,880543,54.559,55.034,0.475,SPEAKER_00
894397,955789,55.9,59.737,3.837,SPEAKER_00
979422,1044074,61.214,65.255,4.041,SPEAKER_00
1058743,1117691,66.171,69.856,3.684,SPEAKER_00
1119320,1124753,69.958,70.297,0.34,SPEAKER_00
1135076,1210050,70.942,75.628,4.686,SPEAKER_00
1231782,1320882,76.986,82.555,5.569,SPEAKER_00
1347775,1392597,84.236,87.037,2.801,SPEAKER_00
1395042,1479252,87.19,92.453,5.263,SPEAKER_00
1508319,1541188,94.27,96.324,2.054,SPEAKER_00
1562648,1637079,97.666,102.317,4.652,SPEAKER_00
1648217,1730526,103.014,108.158,5.144,SPEAKER_00
1650933,1652835,103.183,103.302,0.119,SPEAKER_01
1734329,1768285,108.396,110.518,2.122,SPEAKER_00
1775619,1803056,110.976,112.691,1.715,SPEAKER_00
1815551,1826417,113.472,114.151,0.679,SPEAKER_00
1828047,1861460,114.253,116.341,2.088,SPEAKER_00
1898404,1953820,118.65,122.114,3.463,SPEAKER_00
1963870,2015212,122.742,125.951,3.209,SPEAKER_00
2033684,2113276,127.105,132.08,4.975,SPEAKER_00
2159456,2201018,134.966,137.564,2.598,SPEAKER_00
