start,end,start [s],end [s],dur [s],speaker
41086,73140,5.136,9.143,4.007,SPEAKER_00
81833,99354,10.229,12.419,2.19,SPEAKER_00
110764,112122,13.846,14.015,0.17,SPEAKER_00
114159,120950,14.27,15.119,0.849,SPEAKER_00
129371,135076,16.171,16.885,0.713,SPEAKER_00
136027,161697,17.003,20.212,3.209,SPEAKER_00
175823,185874,21.978,23.234,1.256,SPEAKER_00
192258,196740,24.032,24.593,0.56,SPEAKER_00
202988,229202,25.374,28.65,3.277,SPEAKER_00
239796,268726,29.975,33.591,3.616,SPEAKER_00
272937,283667,34.117,35.458,1.341,SPEAKER_00
294668,330254,36.834,41.282,4.448,SPEAKER_00
346281,353752,43.285,44.219,0.934,SPEAKER_00
359320,365568,44.915,45.696,0.781,SPEAKER_00
376706,403735,47.088,50.467,3.379,SPEAKER_00
423565,428455,52.946,53.557,0.611,SPEAKER_00
430492,432258,53.812,54.032,0.221,SPEAKER_00
437419,450594,54.677,56.324,1.647,SPEAKER_00
460645,471646,57.581,58.956,1.375,SPEAKER_00
475449,481561,59.431,60.195,0.764,SPEAKER_00
492971,500169,61.621,62.521,0.9,SPEAKER_00
520000,531137,65.0,66.392,1.392,SPEAKER_00
545398,551375,68.175,68.922,0.747,SPEAKER_00
570933,580577,71.367,72.572,1.205,SPEAKER_00
615483,639117,76.935,79.89,2.954,SPEAKER_00
640203,661120,80.025,82.64,2.615,SPEAKER_00
682308,704991,85.289,88.124,2.835,SPEAKER_00
744244,771137,93.031,96.392,3.362,SPEAKER_00
