start,end,start [s],end [s],dur [s],speaker
1765,8556,0.11,0.535,0.424,SPEAKER_00
22139,67232,1.384,4.202,2.818,SPEAKER_00
74838,85161,4.677,5.323,0.645,SPEAKER_00
95755,102275,5.985,6.392,0.407,SPEAKER_00
113140,130526,7.071,8.158,1.087,SPEAKER_00
163123,220713,10.195,13.795,3.599,SPEAKER_00
232665,256027,14.542,16.002,1.46,SPEAKER_00
267979,286451,16.749,17.903,1.154,SPEAKER_00
307640,335348,19.228,20.959,1.732,SPEAKER_01
335619,336434,20.976,21.027,0.051,SPEAKER_01
342410,377996,21.401,23.625,2.224,SPEAKER_00
382614,409507,23.913,25.594,1.681,SPEAKER_00
422818,435585,26.426,27.224,0.798,SPEAKER_00
