start,end,start [s],end [s],dur [s],speaker
5500,17317,0.688,2.165,1.477,SPEAKER_00
28590,77351,3.574,9.669,6.095,SPEAKER_00
79932,95144,9.992,11.893,1.902,SPEAKER_00
102207,116740,12.776,14.593,1.817,SPEAKER_00
118913,141731,14.864,17.716,2.852,SPEAKER_00
146213,164414,18.277,20.552,2.275,SPEAKER_00
169847,187096,21.231,23.387,2.156,SPEAKER_00
194431,202988,24.304,25.374,1.07,SPEAKER_00
214804,229066,26.851,28.633,1.783,SPEAKER_00
240882,263972,30.11,32.997,2.886,SPEAKER_00
267368,269541,33.421,33.693,0.272,SPEAKER_00
298064,307843,37.258,38.48,1.222,SPEAKER_00
313276,318030,39.16,39.754,0.594,SPEAKER_00
320067,338268,40.008,42.284,2.275,SPEAKER_00
343565,360000,42.946,45.0,2.054,SPEAKER_00
365840,382818,45.73,47.852,2.122,SPEAKER_00
388794,393005,48.599,49.126,0.526,SPEAKER_00
401969,412563,50.246,51.57,1.324,SPEAKER_00
