start,end,start [s],end [s],dur [s],speaker
407,17521,0.008,0.365,0.357,SPEAKER_00
248964,306825,5.187,6.392,1.205,SPEAKER_00
462478,530118,9.635,11.044,1.409,SPEAKER_00
540713,641765,11.265,13.37,2.105,SPEAKER_00
653989,671918,13.625,13.998,0.374,SPEAKER_01
735483,925365,15.323,19.278,3.956,SPEAKER_00
1069609,1105466,22.284,23.031,0.747,SPEAKER_00
1182071,1398845,24.626,29.143,4.516,SPEAKER_00
1526791,1579762,31.808,32.912,1.104,SPEAKER_00
1671850,1769643,34.83,36.868,2.037,SPEAKER_00
2051612,2111918,42.742,43.998,1.256,SPEAKER_00
2293650,2389813,47.784,49.788,2.003,SPEAKER_00
2380033,2397147,49.584,49.941,0.357,SPEAKER_01
2397147,2453378,49.941,51.112,1.171,SPEAKER_00
2455008,2525908,51.146,52.623,1.477,SPEAKER_00
2767945,2824176,57.666,58.837,1.171,SPEAKER_00
2903225,2947232,60.484,61.401,0.917,SPEAKER_00
3241426,3334329,67.53,69.465,1.935,SPEAKER_00
3569847,3696162,74.372,77.003,2.632,SPEAKER_01
3625263,3678234,75.526,76.63,1.104,SPEAKER_00
