start,end,start [s],end [s],dur [s],speaker
81086,95212,5.068,5.951,0.883,SPEAKER_00
144651,167470,9.041,10.467,1.426,SPEAKER_00
188930,209847,11.808,13.115,1.307,SPEAKER_00
226146,244074,14.134,15.255,1.121,SPEAKER_00
275314,305466,17.207,19.092,1.885,SPEAKER_00
336434,375280,21.027,23.455,2.428,SPEAKER_00
387232,433412,24.202,27.088,2.886,SPEAKER_00
455959,532563,28.497,33.285,4.788,SPEAKER_00
547232,580373,34.202,36.273,2.071,SPEAKER_00
601833,649915,37.615,40.62,3.005,SPEAKER_00
684957,719185,42.81,44.949,2.139,SPEAKER_00
730050,739286,45.628,46.205,0.577,SPEAKER_00
786553,804753,49.16,50.297,1.138,SPEAKER_00
814261,827300,50.891,51.706,0.815,SPEAKER_00
863701,886519,53.981,55.407,1.426,SPEAKER_00
893582,907164,55.849,56.698,0.849,SPEAKER_00
917758,938404,57.36,58.65,1.29,SPEAKER_00
969643,999524,60.603,62.47,1.868,SPEAKER_00
1010118,1024244,63.132,64.015,0.883,SPEAKER_00
1036468,1054125,64.779,65.883,1.104,SPEAKER_00
1063089,1082105,66.443,67.632,1.188,SPEAKER_00
1105738,1129643,69.109,70.603,1.494,SPEAKER_00
1141595,1176638,71.35,73.54,2.19,SPEAKER_00
1213582,1239932,75.849,77.496,1.647,SPEAKER_00
1273344,1301052,79.584,81.316,1.732,SPEAKER_00
1391239,1465398,86.952,91.587,4.635,SPEAKER_00
1513480,1537385,94.593,96.087,1.494,SPEAKER_00
1577589,1613174,98.599,100.823,2.224,SPEAKER_00
1670492,1685432,104.406,105.34,0.934,SPEAKER_00
1691680,1720747,105.73,107.547,1.817,SPEAKER_00
1745195,1762037,109.075,110.127,1.053,SPEAKER_00
1847606,1851409,115.475,115.713,0.238,SPEAKER_00
1872054,1874227,117.003,117.139,0.136,SPEAKER_00
