start,end,start [s],end [s],dur [s],speaker
135,11273,0.008,0.705,0.696,SPEAKER_00
14804,57181,0.925,3.574,2.649,SPEAKER_00
67775,80814,4.236,5.051,0.815,SPEAKER_00
101731,116400,6.358,7.275,0.917,SPEAKER_00
121561,135415,7.598,8.463,0.866,SPEAKER_00
156876,169371,9.805,10.586,0.781,SPEAKER_00
200339,239185,12.521,14.949,2.428,SPEAKER_00
240271,256842,15.017,16.053,1.036,SPEAKER_00
270424,286179,16.902,17.886,0.985,SPEAKER_00
320135,333989,20.008,20.874,0.866,SPEAKER_00
341324,356536,21.333,22.284,0.951,SPEAKER_00
345942,355178,21.621,22.199,0.577,SPEAKER_01
401901,436400,25.119,27.275,2.156,SPEAKER_00
445908,461120,27.869,28.82,0.951,SPEAKER_00
498064,507843,31.129,31.74,0.611,SPEAKER_00
531748,540713,33.234,33.795,0.56,SPEAKER_00
573310,587707,35.832,36.732,0.9,SPEAKER_00
595857,609168,37.241,38.073,0.832,SPEAKER_00
600747,602648,37.547,37.666,0.119,SPEAKER_01
642037,660509,40.127,41.282,1.154,SPEAKER_00
643123,651816,40.195,40.739,0.543,SPEAKER_01
717555,735755,44.847,45.985,1.138,SPEAKER_00
787911,801494,49.244,50.093,0.849,SPEAKER_00
820237,828930,51.265,51.808,0.543,SPEAKER_00
930797,993276,58.175,62.08,3.905,SPEAKER_00
