start,end,start [s],end [s],dur [s],speaker
70220,94397,4.389,5.9,1.511,SPEAKER_00
127266,145195,7.954,9.075,1.121,SPEAKER_00
154974,239728,9.686,14.983,5.297,SPEAKER_00
274770,366859,17.173,22.929,5.756,SPEAKER_00
342682,345127,21.418,21.57,0.153,SPEAKER_01
345942,347028,21.621,21.689,0.068,SPEAKER_01
352190,356264,22.012,22.267,0.255,SPEAKER_01
371205,393752,23.2,24.61,1.409,SPEAKER_00
419015,432597,26.188,27.037,0.849,SPEAKER_00
472258,490458,29.516,30.654,1.138,SPEAKER_00
519796,552122,32.487,34.508,2.02,SPEAKER_00
567877,594499,35.492,37.156,1.664,SPEAKER_00
631443,677079,39.465,42.317,2.852,SPEAKER_00
714023,784108,44.626,49.007,4.38,SPEAKER_00
786281,829202,49.143,51.825,2.683,SPEAKER_00
844142,851748,52.759,53.234,0.475,SPEAKER_00
871307,910967,54.457,56.935,2.479,SPEAKER_00
924550,966926,57.784,60.433,2.649,SPEAKER_00
1002512,1073955,62.657,67.122,4.465,SPEAKER_00
1089711,1129100,68.107,70.569,2.462,SPEAKER_00
1153548,1199456,72.097,74.966,2.869,SPEAKER_00
1211952,1295348,75.747,80.959,5.212,SPEAKER_00
1321697,1334193,82.606,83.387,0.781,SPEAKER_00
1346417,1355110,84.151,84.694,0.543,SPEAKER_00
1357283,1395042,84.83,87.19,2.36,SPEAKER_00
1429269,1430356,89.329,89.397,0.068,SPEAKER_00
1444482,1479796,90.28,92.487,2.207,SPEAKER_00
1497453,1510492,93.591,94.406,0.815,SPEAKER_00
1516196,1535212,94.762,95.951,1.188,SPEAKER_00
1548522,1559388,96.783,97.462,0.679,SPEAKER_00
1584923,1611544,99.058,100.722,1.664,SPEAKER_00
1623497,1681901,101.469,105.119,3.65,SPEAKER_00
1723735,1806859,107.733,112.929,5.195,SPEAKER_00
1830492,1898404,114.406,118.65,4.244,SPEAKER_00
1928013,2012495,120.501,125.781,5.28,SPEAKER_00
2019286,2038573,126.205,127.411,1.205,SPEAKER_00
2055687,2079864,128.48,129.992,1.511,SPEAKER_00
2089643,2102410,130.603,131.401,0.798,SPEAKER_00
2131205,2148862,133.2,134.304,1.104,SPEAKER_00
2201290,2310764,137.581,144.423,6.842,SPEAKER_00
2336298,2363735,146.019,147.733,1.715,SPEAKER_00
2403395,2557691,150.212,159.856,9.643,SPEAKER_00
2610390,2623429,163.149,163.964,0.815,SPEAKER_00
2612835,2617453,163.302,163.591,0.289,SPEAKER_01
