start,end,start [s],end [s],dur [s],speaker
67,5636,0.008,0.705,0.696,SPEAKER_00
8624,21120,1.078,2.64,1.562,SPEAKER_00
29677,50594,3.71,6.324,2.615,SPEAKER_00
61595,69473,7.699,8.684,0.985,SPEAKER_00
71103,86723,8.888,10.84,1.952,SPEAKER_00
93378,108455,11.672,13.557,1.885,SPEAKER_00
112937,159117,14.117,19.89,5.772,SPEAKER_00
164550,171069,20.569,21.384,0.815,SPEAKER_00
180713,197283,22.589,24.66,2.071,SPEAKER_00
201222,208692,25.153,26.087,0.934,SPEAKER_00
209779,216570,26.222,27.071,0.849,SPEAKER_00
227572,278098,28.447,34.762,6.316,SPEAKER_00
287470,318573,35.934,39.822,3.888,SPEAKER_00
325093,335823,40.637,41.978,1.341,SPEAKER_00
343565,355789,42.946,44.474,1.528,SPEAKER_00
360000,383089,45.0,47.886,2.886,SPEAKER_00
387707,408896,48.463,51.112,2.649,SPEAKER_00
416095,419219,52.012,52.402,0.39,SPEAKER_00
426689,456570,53.336,57.071,3.735,SPEAKER_00
465534,484414,58.192,60.552,2.36,SPEAKER_00
495144,521901,61.893,65.238,3.345,SPEAKER_00
532903,545670,66.613,68.209,1.596,SPEAKER_00
547979,565365,68.497,70.671,2.173,SPEAKER_00
573786,583157,71.723,72.895,1.171,SPEAKER_00
588455,601765,73.557,75.221,1.664,SPEAKER_00
612495,629066,76.562,78.633,2.071,SPEAKER_00
631511,639117,78.939,79.89,0.951,SPEAKER_00
650390,662478,81.299,82.81,1.511,SPEAKER_00
678505,704312,84.813,88.039,3.226,SPEAKER_00
710424,724006,88.803,90.501,1.698,SPEAKER_00
726994,744787,90.874,93.098,2.224,SPEAKER_00
751578,769100,93.947,96.138,2.19,SPEAKER_00
773989,787572,96.749,98.447,1.698,SPEAKER_00
796129,822614,99.516,102.827,3.311,SPEAKER_00
824651,828590,103.081,103.574,0.492,SPEAKER_00
