start,end,start [s],end [s],dur [s],speaker
3123,46587,0.195,2.912,2.716,SPEAKER_00
57996,71035,3.625,4.44,0.815,SPEAKER_00
83259,110967,5.204,6.935,1.732,SPEAKER_00
123735,145195,7.733,9.075,1.341,SPEAKER_00
155517,194091,9.72,12.131,2.411,SPEAKER_00
207402,212020,12.963,13.251,0.289,SPEAKER_00
225602,248964,14.1,15.56,1.46,SPEAKER_00
252224,273955,15.764,17.122,1.358,SPEAKER_00
278573,288624,17.411,18.039,0.628,SPEAKER_00
306010,334804,19.126,20.925,1.8,SPEAKER_00
353005,367945,22.063,22.997,0.934,SPEAKER_00
394295,512733,24.643,32.046,7.402,SPEAKER_00
517894,535280,32.368,33.455,1.087,SPEAKER_00
543972,632258,33.998,39.516,5.518,SPEAKER_00
596129,602105,37.258,37.632,0.374,SPEAKER_01
634974,641494,39.686,40.093,0.407,SPEAKER_00
658336,675449,41.146,42.216,1.07,SPEAKER_00
701528,708590,43.846,44.287,0.441,SPEAKER_00
725161,742275,45.323,46.392,1.07,SPEAKER_00
