start,end,start [s],end [s],dur [s],speaker
18404,24923,2.301,3.115,0.815,SPEAKER_00
26553,77623,3.319,9.703,6.384,SPEAKER_00
89575,95415,11.197,11.927,0.73,SPEAKER_00
106825,130730,13.353,16.341,2.988,SPEAKER_00
131544,148387,16.443,18.548,2.105,SPEAKER_00
162784,170662,20.348,21.333,0.985,SPEAKER_00
188319,203667,23.54,25.458,1.919,SPEAKER_00
212088,217113,26.511,27.139,0.628,SPEAKER_00
221188,255959,27.649,31.995,4.346,SPEAKER_00
257589,280814,32.199,35.102,2.903,SPEAKER_00
282173,288828,35.272,36.104,0.832,SPEAKER_00
297792,313820,37.224,39.228,2.003,SPEAKER_00
315178,332699,39.397,41.587,2.19,SPEAKER_00
339762,348862,42.47,43.608,1.138,SPEAKER_00
351443,361086,43.93,45.136,1.205,SPEAKER_00
363123,396400,45.39,49.55,4.16,SPEAKER_00
420713,427096,52.589,53.387,0.798,SPEAKER_00
439320,465942,54.915,58.243,3.328,SPEAKER_00
484006,548387,60.501,68.548,8.048,SPEAKER_00
555449,569847,69.431,71.231,1.8,SPEAKER_00
578539,589269,72.317,73.659,1.341,SPEAKER_00
594567,600814,74.321,75.102,0.781,SPEAKER_00
609235,645229,76.154,80.654,4.499,SPEAKER_00
655959,679049,81.995,84.881,2.886,SPEAKER_00
694668,704584,86.834,88.073,1.239,SPEAKER_00
726723,747504,90.84,93.438,2.598,SPEAKER_00
761901,764753,95.238,95.594,0.357,SPEAKER_00
766655,776977,95.832,97.122,1.29,SPEAKER_00
779015,796129,97.377,99.516,2.139,SPEAKER_00
796536,815959,99.567,101.995,2.428,SPEAKER_00
