start,end,start [s],end [s],dur [s],speaker
47945,66689,2.997,4.168,1.171,SPEAKER_00
81086,108251,5.068,6.766,1.698,SPEAKER_00
116672,135415,7.292,8.463,1.171,SPEAKER_00
164210,193548,10.263,12.097,1.834,SPEAKER_00
199796,232393,12.487,14.525,2.037,SPEAKER_00
249235,273412,15.577,17.088,1.511,SPEAKER_00
280747,295415,17.547,18.463,0.917,SPEAKER_00
314702,379626,19.669,23.727,4.058,SPEAKER_00
402988,471443,25.187,29.465,4.278,SPEAKER_00
496706,514906,31.044,32.182,1.138,SPEAKER_00
530118,600747,33.132,37.547,4.414,SPEAKER_00
643395,672733,40.212,42.046,1.834,SPEAKER_00
708047,745263,44.253,46.579,2.326,SPEAKER_00
770254,813989,48.141,50.874,2.733,SPEAKER_00
822139,867232,51.384,54.202,2.818,SPEAKER_00
891952,896298,55.747,56.019,0.272,SPEAKER_00
911782,944923,56.986,59.058,2.071,SPEAKER_00
