start,end,start [s],end [s],dur [s],speaker
19694,52292,1.231,3.268,2.037,SPEAKER_01
63972,77283,3.998,4.83,0.832,SPEAKER_01
78641,132699,4.915,8.294,3.379,SPEAKER_01
98200,109337,6.138,6.834,0.696,SPEAKER_00
112597,118845,7.037,7.428,0.39,SPEAKER_00
138132,163123,8.633,10.195,1.562,SPEAKER_01
139762,143837,8.735,8.99,0.255,SPEAKER_00
176162,200882,11.01,12.555,1.545,SPEAKER_01
213378,218268,13.336,13.642,0.306,SPEAKER_01
222071,270696,13.879,16.919,3.039,SPEAKER_01
259830,264719,16.239,16.545,0.306,SPEAKER_00
275314,284278,17.207,17.767,0.56,SPEAKER_01
306825,320407,19.177,20.025,0.849,SPEAKER_01
326383,375008,20.399,23.438,3.039,SPEAKER_01
353005,362512,22.063,22.657,0.594,SPEAKER_00
363599,364142,22.725,22.759,0.034,SPEAKER_00
436672,445636,27.292,27.852,0.56,SPEAKER_00
445636,446179,27.852,27.886,0.034,SPEAKER_01
521969,547232,32.623,34.202,1.579,SPEAKER_00
570322,577657,35.645,36.104,0.458,SPEAKER_00
662682,670831,41.418,41.927,0.509,SPEAKER_01
674363,676808,42.148,42.301,0.153,SPEAKER_00
933242,942478,58.328,58.905,0.577,SPEAKER_01
