start,end,start [s],end [s],dur [s],speaker
19966,33005,1.248,2.063,0.815,SPEAKER_00
73480,86519,4.593,5.407,0.815,SPEAKER_00
88421,99558,5.526,6.222,0.696,SPEAKER_00
144380,156604,9.024,9.788,0.764,SPEAKER_00
198981,209847,12.436,13.115,0.679,SPEAKER_00
257113,275042,16.07,17.19,1.121,SPEAKER_00
328285,340237,20.518,21.265,0.747,SPEAKER_00
340780,354363,21.299,22.148,0.849,SPEAKER_00
421731,427979,26.358,26.749,0.39,SPEAKER_00
525772,537453,32.861,33.591,0.73,SPEAKER_01
574940,585534,35.934,36.596,0.662,SPEAKER_01
680339,690390,42.521,43.149,0.628,SPEAKER_00
753684,776502,47.105,48.531,1.426,SPEAKER_00
808828,831646,50.552,51.978,1.426,SPEAKER_00
935415,945466,58.463,59.092,0.628,SPEAKER_00
978607,987028,61.163,61.689,0.526,SPEAKER_00
