start,end,start [s],end [s],dur [s],speaker
46247,58743,5.781,7.343,1.562,SPEAKER_00
75857,111714,9.482,13.964,4.482,SPEAKER_00
119320,139422,14.915,17.428,2.513,SPEAKER_00
145534,165772,18.192,20.722,2.53,SPEAKER_00
174601,182886,21.825,22.861,1.036,SPEAKER_00
195382,207741,24.423,25.968,1.545,SPEAKER_00
221595,236672,27.699,29.584,1.885,SPEAKER_00
240882,259083,30.11,32.385,2.275,SPEAKER_00
268726,278370,33.591,34.796,1.205,SPEAKER_00
292359,297928,36.545,37.241,0.696,SPEAKER_00
306757,313276,38.345,39.16,0.815,SPEAKER_00
315993,319796,39.499,39.975,0.475,SPEAKER_00
341120,354838,42.64,44.355,1.715,SPEAKER_00
368285,399660,46.036,49.958,3.922,SPEAKER_00
425602,428590,53.2,53.574,0.374,SPEAKER_00
429677,433887,53.71,54.236,0.526,SPEAKER_00
440000,448285,55.0,56.036,1.036,SPEAKER_00
451273,467300,56.409,58.413,2.003,SPEAKER_00
476943,498947,59.618,62.368,2.75,SPEAKER_00
509677,515789,63.71,64.474,0.764,SPEAKER_00
526112,543904,65.764,67.988,2.224,SPEAKER_00
550288,558573,68.786,69.822,1.036,SPEAKER_00
591307,609779,73.913,76.222,2.309,SPEAKER_00
623633,637215,77.954,79.652,1.698,SPEAKER_00
660848,689915,82.606,86.239,3.633,SPEAKER_00
704584,710288,88.073,88.786,0.713,SPEAKER_00
727266,736910,90.908,92.114,1.205,SPEAKER_00
758098,790288,94.762,98.786,4.024,SPEAKER_00
818811,828590,102.351,103.574,1.222,SPEAKER_00
837147,843259,104.643,105.407,0.764,SPEAKER_00
855212,866349,106.902,108.294,1.392,SPEAKER_00
876264,895959,109.533,111.995,2.462,SPEAKER_00
897996,908183,112.25,113.523,1.273,SPEAKER_00
915110,922037,114.389,115.255,0.866,SPEAKER_00
929915,941867,116.239,117.733,1.494,SPEAKER_00
953276,970662,119.16,121.333,2.173,SPEAKER_00
988047,999049,123.506,124.881,1.375,SPEAKER_00
1006247,1022546,125.781,127.818,2.037,SPEAKER_00
1031918,1050933,128.99,131.367,2.377,SPEAKER_00
1060305,1074431,132.538,134.304,1.766,SPEAKER_00
1086247,1098471,135.781,137.309,1.528,SPEAKER_00
1105398,1109881,138.175,138.735,0.56,SPEAKER_00
1118573,1142071,139.822,142.759,2.937,SPEAKER_00
1165976,1172631,145.747,146.579,0.832,SPEAKER_00
1175212,1182954,146.902,147.869,0.968,SPEAKER_00
1186757,1203870,148.345,150.484,2.139,SPEAKER_00
1211612,1214465,151.452,151.808,0.357,SPEAKER_00
1227775,1230084,153.472,153.761,0.289,SPEAKER_00
1237826,1242580,154.728,155.323,0.594,SPEAKER_00
1246112,1257521,155.764,157.19,1.426,SPEAKER_00
1261324,1266213,157.666,158.277,0.611,SPEAKER_00
1280475,1297589,160.059,162.199,2.139,SPEAKER_00
1308998,1323938,163.625,165.492,1.868,SPEAKER_00
1334397,1337521,166.8,167.19,0.39,SPEAKER_00
1357079,1362920,169.635,170.365,0.73,SPEAKER_00
1366044,1379219,170.756,172.402,1.647,SPEAKER_00
1400407,1413174,175.051,176.647,1.596,SPEAKER_00
1420645,1439117,177.581,179.89,2.309,SPEAKER_00
1442241,1442784,180.28,180.348,0.068,SPEAKER_00
1448488,1454465,181.061,181.808,0.747,SPEAKER_00
1457860,1477555,182.233,184.694,2.462,SPEAKER_00
1495891,1503225,186.986,187.903,0.917,SPEAKER_00
1507300,1523056,188.413,190.382,1.969,SPEAKER_00
1528896,1533650,191.112,191.706,0.594,SPEAKER_00
1548047,1563803,193.506,195.475,1.969,SPEAKER_00
1585942,1606451,198.243,200.806,2.564,SPEAKER_00
1617724,1620305,202.216,202.538,0.323,SPEAKER_00
1628998,1636196,203.625,204.525,0.9,SPEAKER_00
1638234,1662139,204.779,207.767,2.988,SPEAKER_00
1671103,1675585,208.888,209.448,0.56,SPEAKER_00
1680339,1687945,210.042,210.993,0.951,SPEAKER_00
1690797,1704787,211.35,213.098,1.749,SPEAKER_00
1716740,1719592,214.593,214.949,0.357,SPEAKER_00
1728013,1732359,216.002,216.545,0.543,SPEAKER_00
1736977,1742546,217.122,217.818,0.696,SPEAKER_00
1746757,1764278,218.345,220.535,2.19,SPEAKER_00
1769032,1773242,221.129,221.655,0.526,SPEAKER_00
1775959,1786553,221.995,223.319,1.324,SPEAKER_00
1798234,1807334,224.779,225.917,1.138,SPEAKER_00
1811001,1838981,226.375,229.873,3.497,SPEAKER_00
1847130,1861120,230.891,232.64,1.749,SPEAKER_00
1871171,1876332,233.896,234.542,0.645,SPEAKER_00
1876740,1877419,234.593,234.677,0.085,SPEAKER_00
1878234,1880543,234.779,235.068,0.289,SPEAKER_00
1893989,1913276,236.749,239.16,2.411,SPEAKER_00
1932563,1946960,241.57,243.37,1.8,SPEAKER_00
1957555,1986349,244.694,248.294,3.599,SPEAKER_00
1997079,2006859,249.635,250.857,1.222,SPEAKER_00
