start,end,start [s],end [s],dur [s],speaker
3938,10730,0.246,0.671,0.424,SPEAKER_01
21324,30016,1.333,1.876,0.543,SPEAKER_01
41969,50662,2.623,3.166,0.543,SPEAKER_01
84889,91952,5.306,5.747,0.441,SPEAKER_01
104719,114499,6.545,7.156,0.611,SPEAKER_01
128624,140577,8.039,8.786,0.747,SPEAKER_01
162580,172359,10.161,10.772,0.611,SPEAKER_01
194634,251409,12.165,15.713,3.548,SPEAKER_01
289439,304108,18.09,19.007,0.917,SPEAKER_01
341052,342410,21.316,21.401,0.085,SPEAKER_01
342682,353820,21.418,22.114,0.696,SPEAKER_01
380713,389134,23.795,24.321,0.526,SPEAKER_01
453242,468726,28.328,29.295,0.968,SPEAKER_00
480135,497521,30.008,31.095,1.087,SPEAKER_00
576027,603191,36.002,37.699,1.698,SPEAKER_01
609983,618675,38.124,38.667,0.543,SPEAKER_01
651001,661324,40.688,41.333,0.645,SPEAKER_01
696366,705602,43.523,44.1,0.577,SPEAKER_01
965297,969100,60.331,60.569,0.238,SPEAKER_01
1002784,1016366,62.674,63.523,0.849,SPEAKER_00
