start,end,start [s],end [s],dur [s],speaker
135,207402,0.008,12.963,12.954,SPEAKER_00
61528,78098,3.846,4.881,1.036,SPEAKER_01
215008,267707,13.438,16.732,3.294,SPEAKER_00
275314,294601,17.207,18.413,1.205,SPEAKER_00
304651,407334,19.041,25.458,6.418,SPEAKER_00
417385,590424,26.087,36.902,10.815,SPEAKER_00
602920,611341,37.683,38.209,0.526,SPEAKER_00
621935,645568,38.871,40.348,1.477,SPEAKER_00
655348,726791,40.959,45.424,4.465,SPEAKER_00
735483,756943,45.968,47.309,1.341,SPEAKER_00
770797,848760,48.175,53.048,4.873,SPEAKER_00
