start,end,start [s],end [s],dur [s],speaker
135,53378,0.008,3.336,3.328,SPEAKER_00
75925,92495,4.745,5.781,1.036,SPEAKER_00
94397,112325,5.9,7.02,1.121,SPEAKER_00
119388,142750,7.462,8.922,1.46,SPEAKER_00
159864,187300,9.992,11.706,1.715,SPEAKER_00
189202,213106,11.825,13.319,1.494,SPEAKER_00
222342,276672,13.896,17.292,3.396,SPEAKER_00
301392,336706,18.837,21.044,2.207,SPEAKER_00
349202,461120,21.825,28.82,6.995,SPEAKER_00
470084,518709,29.38,32.419,3.039,SPEAKER_00
540713,606994,33.795,37.937,4.143,SPEAKER_00
616502,658064,38.531,41.129,2.598,SPEAKER_00
667843,683599,41.74,42.725,0.985,SPEAKER_00
697181,728149,43.574,45.509,1.935,SPEAKER_00
741460,768353,46.341,48.022,1.681,SPEAKER_00
799592,908522,49.975,56.783,6.808,SPEAKER_00
