start,end,start [s],end [s],dur [s],speaker
135,5840,0.008,0.365,0.357,SPEAKER_00
22954,31103,1.435,1.944,0.509,SPEAKER_00
59898,92767,3.744,5.798,2.054,SPEAKER_00
95755,113684,5.985,7.105,1.121,SPEAKER_00
125636,153887,7.852,9.618,1.766,SPEAKER_00
176434,194906,11.027,12.182,1.154,SPEAKER_00
215823,233208,13.489,14.576,1.087,SPEAKER_00
248692,267707,15.543,16.732,1.188,SPEAKER_00
289439,332903,18.09,20.806,2.716,SPEAKER_00
417385,433684,26.087,27.105,1.019,SPEAKER_00
489100,528217,30.569,33.014,2.445,SPEAKER_00
548319,575755,34.27,35.985,1.715,SPEAKER_00
599932,617317,37.496,38.582,1.087,SPEAKER_00
645568,659151,40.348,41.197,0.849,SPEAKER_00
735755,771884,45.985,48.243,2.258,SPEAKER_00
888149,919660,55.509,57.479,1.969,SPEAKER_01
937860,938132,58.616,58.633,0.017,SPEAKER_01
938132,957147,58.633,59.822,1.188,SPEAKER_00
959320,968013,59.958,60.501,0.543,SPEAKER_01
1009847,1030492,63.115,64.406,1.29,SPEAKER_01
