start,end,start [s],end [s],dur [s],speaker
67,39864,0.008,4.983,4.975,SPEAKER_00
50458,76264,6.307,9.533,3.226,SPEAKER_00
78981,85500,9.873,10.688,0.815,SPEAKER_00
91612,100848,11.452,12.606,1.154,SPEAKER_00
109134,147572,13.642,18.447,4.805,SPEAKER_00
158438,175144,19.805,21.893,2.088,SPEAKER_00
182614,189541,22.827,23.693,0.866,SPEAKER_00
192122,202580,24.015,25.323,1.307,SPEAKER_00
209100,239660,26.138,29.958,3.82,SPEAKER_00
243327,272529,30.416,34.066,3.65,SPEAKER_00
278234,294125,34.779,36.766,1.986,SPEAKER_00
296570,317758,37.071,39.72,2.649,SPEAKER_00
325636,334465,40.705,41.808,1.104,SPEAKER_00
335280,344516,41.91,43.065,1.154,SPEAKER_00
349677,362444,43.71,45.306,1.596,SPEAKER_00
367877,384040,45.985,48.005,2.02,SPEAKER_00
389202,406451,48.65,50.806,2.156,SPEAKER_00
413378,431578,51.672,53.947,2.275,SPEAKER_00
440000,446791,55.0,55.849,0.849,SPEAKER_00
448285,460509,56.036,57.564,1.528,SPEAKER_00
463769,483735,57.971,60.467,2.496,SPEAKER_00
490118,511986,61.265,63.998,2.733,SPEAKER_00
516196,529643,64.525,66.205,1.681,SPEAKER_00
539151,576366,67.394,72.046,4.652,SPEAKER_00
580169,605432,72.521,75.679,3.158,SPEAKER_00
609643,626757,76.205,78.345,2.139,SPEAKER_00
630560,660577,78.82,82.572,3.752,SPEAKER_00
664108,675110,83.014,84.389,1.375,SPEAKER_00
679456,696706,84.932,87.088,2.156,SPEAKER_00
702954,711782,87.869,88.973,1.104,SPEAKER_00
716943,751714,89.618,93.964,4.346,SPEAKER_00
765976,792733,95.747,99.092,3.345,SPEAKER_00
796129,823837,99.516,102.98,3.463,SPEAKER_00
825602,832258,103.2,104.032,0.832,SPEAKER_00
840000,850322,105.0,106.29,1.29,SPEAKER_00
856570,874091,107.071,109.261,2.19,SPEAKER_00
880475,891748,110.059,111.469,1.409,SPEAKER_00
895008,907504,111.876,113.438,1.562,SPEAKER_00
914702,926655,114.338,115.832,1.494,SPEAKER_00
930050,938064,116.256,117.258,1.002,SPEAKER_00
941052,948251,117.632,118.531,0.9,SPEAKER_00
966994,986281,120.874,123.285,2.411,SPEAKER_00
993208,1002716,124.151,125.34,1.188,SPEAKER_00
1013718,1039660,126.715,129.958,3.243,SPEAKER_00
1055144,1055959,131.893,131.995,0.102,SPEAKER_00
1056910,1061392,132.114,132.674,0.56,SPEAKER_00
