start,end,start [s],end [s],dur [s],speaker
67,17996,0.008,2.25,2.241,SPEAKER_00
23701,33073,2.963,4.134,1.171,SPEAKER_00
44346,56298,5.543,7.037,1.494,SPEAKER_00
58200,68794,7.275,8.599,1.324,SPEAKER_00
79252,98268,9.907,12.284,2.377,SPEAKER_00
117419,168760,14.677,21.095,6.418,SPEAKER_00
169439,183293,21.18,22.912,1.732,SPEAKER_00
194974,201222,24.372,25.153,0.781,SPEAKER_00
219422,230696,27.428,28.837,1.409,SPEAKER_00
242784,253242,30.348,31.655,1.307,SPEAKER_00
271443,297792,33.93,37.224,3.294,SPEAKER_00
309202,315178,38.65,39.397,0.747,SPEAKER_00
322376,339898,40.297,42.487,2.19,SPEAKER_00
346825,353752,43.353,44.219,0.866,SPEAKER_00
373582,403735,46.698,50.467,3.769,SPEAKER_00
408896,470152,51.112,58.769,7.657,SPEAKER_00
479932,502886,59.992,62.861,2.869,SPEAKER_00
515110,520000,64.389,65.0,0.611,SPEAKER_00
531001,540237,66.375,67.53,1.154,SPEAKER_00
540916,543089,67.615,67.886,0.272,SPEAKER_00
546349,550831,68.294,68.854,0.56,SPEAKER_00
