start,end,start [s],end [s],dur [s],speaker
135,4210,0.008,0.263,0.255,SPEAKER_01
41426,84889,2.589,5.306,2.716,SPEAKER_00
95212,115042,5.951,7.19,1.239,SPEAKER_00
125636,178336,7.852,11.146,3.294,SPEAKER_00
200611,218811,12.538,13.676,1.138,SPEAKER_00
271511,319592,16.969,19.975,3.005,SPEAKER_00
333989,347572,20.874,21.723,0.849,SPEAKER_00
373378,413853,23.336,25.866,2.53,SPEAKER_00
413853,419558,25.866,26.222,0.357,SPEAKER_01
451069,500780,28.192,31.299,3.107,SPEAKER_00
686859,708047,42.929,44.253,1.324,SPEAKER_00
754499,772427,47.156,48.277,1.121,SPEAKER_00
835993,850933,52.25,53.183,0.934,SPEAKER_00
872937,885976,54.559,55.374,0.815,SPEAKER_00
905263,908251,56.579,56.766,0.187,SPEAKER_00
