start,end,start [s],end [s],dur [s],speaker
882,3735,0.11,0.467,0.357,SPEAKER_00
13106,18132,1.638,2.267,0.628,SPEAKER_00
20713,48149,2.589,6.019,3.43,SPEAKER_00
54125,61188,6.766,7.649,0.883,SPEAKER_00
70288,103972,8.786,12.997,4.211,SPEAKER_00
111035,115653,13.879,14.457,0.577,SPEAKER_00
118777,128285,14.847,16.036,1.188,SPEAKER_00
129779,144312,16.222,18.039,1.817,SPEAKER_00
152733,158709,19.092,19.839,0.747,SPEAKER_00
162648,176502,20.331,22.063,1.732,SPEAKER_00
183701,193073,22.963,24.134,1.171,SPEAKER_00
199728,209371,24.966,26.171,1.205,SPEAKER_00
218200,228522,27.275,28.565,1.29,SPEAKER_00
229881,255144,28.735,31.893,3.158,SPEAKER_00
235857,237215,29.482,29.652,0.17,SPEAKER_01
263293,307572,32.912,38.447,5.535,SPEAKER_00
310831,348862,38.854,43.608,4.754,SPEAKER_00
356604,379151,44.576,47.394,2.818,SPEAKER_00
383904,393412,47.988,49.177,1.188,SPEAKER_00
396264,418675,49.533,52.334,2.801,SPEAKER_00
420713,473684,52.589,59.211,6.621,SPEAKER_00
476943,480882,59.618,60.11,0.492,SPEAKER_00
483463,489575,60.433,61.197,0.764,SPEAKER_00
492563,500577,61.57,62.572,1.002,SPEAKER_00
501120,536162,62.64,67.02,4.38,SPEAKER_00
540101,552733,67.513,69.092,1.579,SPEAKER_00
558709,573106,69.839,71.638,1.8,SPEAKER_00
574601,596876,71.825,74.61,2.784,SPEAKER_00
599592,603938,74.949,75.492,0.543,SPEAKER_00
608692,619830,76.087,77.479,1.392,SPEAKER_00
622003,673480,77.75,84.185,6.435,SPEAKER_00
677283,684074,84.66,85.509,0.849,SPEAKER_00
694261,721833,86.783,90.229,3.447,SPEAKER_00
726859,771409,90.857,96.426,5.569,SPEAKER_00
777385,797894,97.173,99.737,2.564,SPEAKER_00
803463,841629,100.433,105.204,4.771,SPEAKER_00
846247,917147,105.781,114.643,8.862,SPEAKER_00
928285,958845,116.036,119.856,3.82,SPEAKER_00
971069,987911,121.384,123.489,2.105,SPEAKER_00
980713,983157,122.589,122.895,0.306,SPEAKER_01
993616,1020101,124.202,127.513,3.311,SPEAKER_00
997962,1005840,124.745,125.73,0.985,SPEAKER_01
1024312,1035449,128.039,129.431,1.392,SPEAKER_00
1040611,1078913,130.076,134.864,4.788,SPEAKER_00
1081901,1132699,135.238,141.587,6.35,SPEAKER_00
1139219,1171001,142.402,146.375,3.973,SPEAKER_00
1180101,1195721,147.513,149.465,1.952,SPEAKER_00
1208217,1217317,151.027,152.165,1.138,SPEAKER_00
1227911,1234567,153.489,154.321,0.832,SPEAKER_00
