start,end,start [s],end [s],dur [s],speaker
2512,7945,0.314,0.993,0.679,SPEAKER_00
8488,11477,1.061,1.435,0.374,SPEAKER_00
21120,44753,2.64,5.594,2.954,SPEAKER_00
25466,27640,3.183,3.455,0.272,SPEAKER_01
37691,42716,4.711,5.34,0.628,SPEAKER_01
66893,69881,8.362,8.735,0.374,SPEAKER_00
83463,85500,10.433,10.688,0.255,SPEAKER_00
94872,103157,11.859,12.895,1.036,SPEAKER_00
105874,120271,13.234,15.034,1.8,SPEAKER_00
123395,140645,15.424,17.581,2.156,SPEAKER_00
144176,151511,18.022,18.939,0.917,SPEAKER_00
155314,174193,19.414,21.774,2.36,SPEAKER_00
178675,189269,22.334,23.659,1.324,SPEAKER_00
190492,199185,23.812,24.898,1.087,SPEAKER_00
202173,218743,25.272,27.343,2.071,SPEAKER_00
223633,228387,27.954,28.548,0.594,SPEAKER_00
229745,236672,28.718,29.584,0.866,SPEAKER_00
240475,261663,30.059,32.708,2.649,SPEAKER_00
264923,268590,33.115,33.574,0.458,SPEAKER_00
273480,288828,34.185,36.104,1.919,SPEAKER_00
292224,319796,36.528,39.975,3.447,SPEAKER_00
322920,330797,40.365,41.35,0.985,SPEAKER_00
333921,350356,41.74,43.795,2.054,SPEAKER_00
352258,359185,44.032,44.898,0.866,SPEAKER_00
362988,386621,45.374,48.328,2.954,SPEAKER_00
390967,399388,48.871,49.924,1.053,SPEAKER_00
402648,411069,50.331,51.384,1.053,SPEAKER_00
415008,425874,51.876,53.234,1.358,SPEAKER_00
428726,432122,53.591,54.015,0.424,SPEAKER_00
