start,end,start [s],end [s],dur [s],speaker
37079,46859,2.317,2.929,0.611,SPEAKER_01
135144,146553,8.447,9.16,0.713,SPEAKER_01
190831,209575,11.927,13.098,1.171,SPEAKER_01
232393,241901,14.525,15.119,0.594,SPEAKER_01
273684,285093,17.105,17.818,0.713,SPEAKER_01
402173,411137,25.136,25.696,0.56,SPEAKER_01
445636,458947,27.852,28.684,0.832,SPEAKER_01
502954,514634,31.435,32.165,0.73,SPEAKER_01
542342,579286,33.896,36.205,2.309,SPEAKER_01
587707,590424,36.732,36.902,0.17,SPEAKER_01
613514,632801,38.345,39.55,1.205,SPEAKER_01
632801,645840,39.55,40.365,0.815,SPEAKER_00
665398,680339,41.587,42.521,0.934,SPEAKER_01
708590,721086,44.287,45.068,0.781,SPEAKER_01
744991,762920,46.562,47.683,1.121,SPEAKER_01
780848,794702,48.803,49.669,0.866,SPEAKER_01
825127,837623,51.57,52.351,0.781,SPEAKER_01
945466,954431,59.092,59.652,0.56,SPEAKER_01
987300,993548,61.706,62.097,0.39,SPEAKER_01
