start,end,start [s],end [s],dur [s],speaker
301392,362784,18.837,22.674,3.837,SPEAKER_02
350288,361697,21.893,22.606,0.713,SPEAKER_01
362784,365500,22.674,22.844,0.17,SPEAKER_01
390220,390764,24.389,24.423,0.034,SPEAKER_02
390764,392665,24.423,24.542,0.119,SPEAKER_03
392665,400000,24.542,25.0,0.458,SPEAKER_02
400000,428522,25.0,26.783,1.783,SPEAKER_03
533378,584719,33.336,36.545,3.209,SPEAKER_04
642852,643123,40.178,40.195,0.017,SPEAKER_00
643123,643395,40.195,40.212,0.017,SPEAKER_04
643395,662682,40.212,41.418,1.205,SPEAKER_00
704516,759932,44.032,47.496,3.463,SPEAKER_00
